PosID,PlotID,StartDate,SerialCode,block,TrtCode,TrapType,Lure
17,35,7/10/20,,3,A,Wing,Phero
18,36,7/10/20,,3,C,Wing,PPO
19,41,7/10/20,,4,A,Wing,Phero
20,42,7/10/20,,4,B,Wing,Peterson
21,43,7/10/20,,4,C,Wing,PPO
22,44,7/10/20,FS-330,4,D,Farmsense,Phero
23,45,7/10/20,FS-360,4,E,Farmsense,Peterson
24,46,7/10/20,FS-329,4,F,Farmsense,PPO
25,51,7/10/20,,5,B,Wing,Peterson
26,52,7/10/20,FS-349,5,E,Farmsense,Peterson
27,53,7/10/20,FS-333,5,F,Farmsense,PPO
28,54,7/10/20,FS-361,5,D,Farmsense,Phero
29,55,7/10/20,,5,A,Wing,Phero
30,56,7/10/20,,5,C,Wing,PPO
31,61,7/10/20,FS-390,6,D,Farmsense,Phero
32,62,7/10/20,,6,C,Wing,PPO
33,63,7/10/20,FS-359,6,F,Farmsense,PPO
34,64,7/10/20,,6,A,Wing,Phero
35,65,7/10/20,,6,B,Wing,Peterson
36,66,7/10/20,FS-393,6,E,Farmsense,Peterson
37,71,7/10/20,,7,C,Wing,PPO
38,72,7/10/20,,7,A,Wing,Phero
39,73,7/10/20,,7,B,Wing,Peterson
40,74,7/10/20,FS-392,7,E,Farmsense,Peterson
41,75,7/10/20,FS-322,7,F,Farmsense,PPO
42,76,7/10/20,FS-326,7,D,Farmsense,Phero
1,11,9/17/20,FS-354,1,D,Farmsense,Phero
2,12,9/17/20,FS-328,1,F,Farmsense,PPO
3,13,9/17/20,,1,A,Wing,Phero
4,14,9/17/20,,1,C,Wing,PPO
5,15,9/17/20,,1,B,Wing,Peterson
6,16,9/17/20,FS-352,1,E,Farmsense,Peterson
7,21,9/17/20,,2,B,Wing,Peterson
8,22,9/17/20,,2,A,Wing,Phero
9,23,9/17/20,FS-353,2,D,Farmsense,Phero
10,24,9/17/20,,2,C,Wing,PPO
11,25,9/17/20,FS-342,2,F,Farmsense,PPO
12,26,9/17/20,FS-358,2,E,Farmsense,Peterson
13,31,9/17/20,FS-396,3,D,Farmsense,Phero
14,32,9/17/20,FS-387,3,F,Farmsense,PPO
15,33,9/17/20,,3,B,Wing,Peterson
16,34,9/17/20,,3,A,Wing,Phero
17,35,9/17/20,,3,C,Wing,PPO
18,36,9/17/20,FS-389,3,E,Farmsense,Peterson
19,41,9/17/20,,4,B,Wing,Peterson
20,42,9/17/20,,4,C,Wing,PPO
21,43,9/17/20,FS-330,4,D,Farmsense,Phero
22,44,9/17/20,FS-360,4,E,Farmsense,Peterson
23,45,9/17/20,FS-329,4,F,Farmsense,PPO
24,46,9/17/20,,4,A,Wing,Phero
25,51,9/17/20,FS-349,5,E,Farmsense,Peterson
26,52,9/17/20,FS-333,5,F,Farmsense,PPO
27,53,9/17/20,FS-361,5,D,Farmsense,Phero
28,54,9/17/20,,5,A,Wing,Phero
29,55,9/17/20,,5,C,Wing,PPO
30,56,9/17/20,,5,B,Wing,Peterson
31,61,9/17/20,,6,C,Wing,PPO
32,62,9/17/20,FS-359,6,F,Farmsense,PPO
33,63,9/17/20,,6,A,Wing,Phero
34,64,9/17/20,,6,B,Wing,Peterson
35,65,9/17/20,FS-393,6,E,Farmsense,Peterson
36,66,9/17/20,FS-390,6,D,Farmsense,Phero
37,71,9/17/20,,7,A,Wing,Phero
38,72,9/17/20,,7,B,Wing,Peterson
39,73,9/17/20,FS-392,7,E,Farmsense,Peterson
40,74,9/17/20,FS-322,7,F,Farmsense,PPO
41,75,9/17/20,FS-326,7,D,Farmsense,Phero
42,76,9/17/20,,7,C,Wing,PPO
1,11,10/21/20,FS-352,1,E,Farmsense,Peterson
2,12,10/21/20,FS-354,1,D,Farmsense,Phero
3,13,10/21/20,FS-328,1,F,Farmsense,PPO
4,14,10/21/20,,1,A,Wing,Phero
5,15,10/21/20,,1,C,Wing,PPO
6,16,10/21/20,,1,B,Wing,Peterson
7,21,10/21/20,FS-358,2,E,Farmsense,Peterson
8,22,10/21/20,,2,B,Wing,Peterson
9,23,10/21/20,,2,A,Wing,Phero
10,24,10/21/20,FS-353,2,D,Farmsense,Phero
11,25,10/21/20,,2,C,Wing,PPO
12,26,10/21/20,FS-342,2,F,Farmsense,PPO
13,31,10/21/20,FS-389,3,E,Farmsense,Peterson
14,32,10/21/20,FS-396,3,D,Farmsense,Phero
15,33,10/21/20,FS-387,3,F,Farmsense,PPO
16,34,10/21/20,,3,B,Wing,Peterson
17,35,10/21/20,,3,A,Wing,Phero
18,36,10/21/20,,3,C,Wing,PPO
19,41,10/21/20,,4,A,Wing,Phero
20,42,10/21/20,,4,B,Wing,Peterson
21,43,10/21/20,,4,C,Wing,PPO
22,44,10/21/20,FS-330,4,D,Farmsense,Phero
23,45,10/21/20,FS-360,4,E,Farmsense,Peterson
24,46,10/21/20,FS-329,4,F,Farmsense,PPO
25,51,10/21/20,,5,B,Wing,Peterson
26,52,10/21/20,FS-349,5,E,Farmsense,Peterson
27,53,10/21/20,FS-333,5,F,Farmsense,PPO
28,54,10/21/20,FS-361,5,D,Farmsense,Phero
29,55,10/21/20,,5,A,Wing,Phero
30,56,10/21/20,,5,C,Wing,PPO
31,61,10/21/20,FS-390,6,D,Farmsense,Phero
32,62,10/21/20,,6,C,Wing,PPO
33,63,10/21/20,FS-359,6,F,Farmsense,PPO
34,64,10/21/20,,6,A,Wing,Phero
35,65,10/21/20,,6,B,Wing,Peterson
36,66,10/21/20,FS-393,6,E,Farmsense,Peterson
37,71,10/21/20,,7,C,Wing,PPO
38,72,10/21/20,,7,A,Wing,Phero
39,73,10/21/20,,7,B,Wing,Peterson
40,74,10/21/20,FS-392,7,E,Farmsense,Peterson
41,75,10/21/20,FS-322,7,F,Farmsense,PPO
42,76,10/21/20,FS-326,7,D,Farmsense,Phero
