PlotID,Lure_type,Start_date,End_date,Count,Re_randomization
73,Peterson,7/29/20,8/6/20,0,2
14,Phero,8/6/20,8/12/20,31,2
15,PPO,8/6/20,8/12/20,7,2
16,Peterson,8/6/20,8/12/20,0,2
22,Peterson,8/6/20,8/12/20,1,2
23,Phero,8/6/20,8/12/20,13,2
25,PPO,8/6/20,8/12/20,2,2
34,Peterson,8/6/20,8/12/20,0,2
35,Phero,8/6/20,8/12/20,23,2
36,PPO,8/6/20,8/12/20,3,2
41,Phero,8/6/20,8/12/20,37,2
42,Peterson,8/6/20,8/12/20,1,2
43,PPO,8/6/20,8/12/20,7,2
51,Peterson,8/6/20,8/12/20,0,2
55,Phero,8/6/20,8/12/20,38,2
56,PPO,8/6/20,8/12/20,10,2
62,PPO,8/6/20,8/12/20,14,2
64,Phero,8/6/20,8/12/20,32,2
65,Peterson,8/6/20,8/12/20,0,2
71,PPO,8/6/20,8/12/20,26,2
72,Phero,8/6/20,8/12/20,32,2
73,Peterson,8/6/20,8/12/20,0,2
14,Phero,8/12/20,8/20/20,14,2
15,PPO,8/12/20,8/20/20,12,2
16,Peterson,8/12/20,8/20/20,0,2
22,Peterson,8/12/20,8/20/20,1,2
23,Phero,8/12/20,8/20/20,4,2
25,PPO,8/12/20,8/20/20,5,2
34,Peterson,8/12/20,8/20/20,0,2
35,Phero,8/12/20,8/20/20,7,2
36,PPO,8/12/20,8/20/20,10,2
41,Phero,8/12/20,8/20/20,17,2
42,Peterson,8/12/20,8/20/20,0,2
43,PPO,8/12/20,8/20/20,5,2
51,Peterson,8/12/20,8/20/20,0,2
55,Phero,8/12/20,8/20/20,10,2
56,PPO,8/12/20,8/20/20,8,2
62,PPO,8/12/20,8/20/20,8,2
64,Phero,8/12/20,8/20/20,20,2
65,Peterson,8/12/20,8/20/20,1,2
71,PPO,8/12/20,8/20/20,56,2
72,Phero,8/12/20,8/20/20,21,2
73,Peterson,8/12/20,8/20/20,0,2
14,Phero,8/20/20,8/27/20,0,2
15,PPO,8/20/20,8/27/20,7,2
16,Peterson,8/20/20,8/27/20,0,2
22,Peterson,8/20/20,8/27/20,0,2
23,Phero,8/20/20,8/27/20,0,2
25,PPO,8/20/20,8/27/20,5,2
34,Peterson,8/20/20,8/27/20,0,2
35,Phero,8/20/20,8/27/20,3,2
36,PPO,8/20/20,8/27/20,5,2
41,Phero,8/20/20,8/27/20,6,2
42,Peterson,8/20/20,8/27/20,0,2
43,PPO,8/20/20,8/27/20,3,2
51,Peterson,8/20/20,8/27/20,0,2
55,Phero,8/20/20,8/27/20,4,2
56,PPO,8/20/20,8/27/20,10,2
62,PPO,8/20/20,8/27/20,12,2
64,Phero,8/20/20,8/27/20,8,2
65,Peterson,8/20/20,8/27/20,0,2
71,PPO,8/20/20,8/27/20,74,2
72,Phero,8/20/20,8/27/20,8,2
73,Peterson,8/20/20,8/27/20,1,2
14,Phero,8/27/20,9/3/20,0,2
15,PPO,8/27/20,9/3/20,3,2
16,Peterson,8/27/20,9/3/20,0,2
22,Peterson,8/27/20,9/3/20,1,2
23,Phero,8/27/20,9/3/20,1,2
25,PPO,8/27/20,9/3/20,0,2
34,Peterson,8/27/20,9/3/20,0,2
35,Phero,8/27/20,9/3/20,3,2
36,PPO,8/27/20,9/3/20,3,2
41,Phero,8/27/20,9/3/20,1,2
42,Peterson,8/27/20,9/3/20,0,2
43,PPO,8/27/20,9/3/20,5,2
51,Peterson,8/27/20,9/3/20,0,2
55,Phero,8/27/20,9/3/20,5,2
56,PPO,8/27/20,9/3/20,13,2
62,PPO,8/27/20,9/3/20,17,2
64,Phero,8/27/20,9/3/20,4,2
65,Peterson,8/27/20,9/3/20,0,2
71,PPO,8/27/20,9/3/20,74,2
72,Phero,8/27/20,9/3/20,6,2
73,Peterson,8/27/20,9/3/20,0,2
14,Phero,9/3/20,9/11/20,0,2
15,PPO,9/3/20,9/11/20,6,2
16,Peterson,9/3/20,9/11/20,0,2
22,Peterson,9/3/20,9/11/20,0,2
23,Phero,9/3/20,9/11/20,1,2
25,PPO,9/3/20,9/11/20,0,2
34,Peterson,9/3/20,9/11/20,0,2
35,Phero,9/3/20,9/11/20,3,2
36,PPO,9/3/20,9/11/20,5,2
41,Phero,9/3/20,9/11/20,6,2
42,Peterson,9/3/20,9/11/20,0,2
43,PPO,9/3/20,9/11/20,8,2
51,Peterson,9/3/20,9/11/20,0,2
55,Phero,9/3/20,9/11/20,6,2
56,PPO,9/3/20,9/11/20,11,2
62,PPO,9/3/20,9/11/20,19,2
64,Phero,9/3/20,9/11/20,7,2
65,Peterson,9/3/20,9/11/20,0,2
71,PPO,9/3/20,9/11/20,77,2
72,Phero,9/3/20,9/11/20,16,2
73,Peterson,9/3/20,9/11/20,1,2
14,Phero,9/11/20,9/16/20,0,2
15,PPO,9/11/20,9/16/20,3,2
16,Peterson,9/11/20,9/16/20,0,2
22,Peterson,9/11/20,9/16/20,0,2
23,Phero,9/11/20,9/16/20,0,2
25,PPO,9/11/20,9/16/20,0,2
34,Peterson,9/11/20,9/16/20,0,2
35,Phero,9/11/20,9/16/20,0,2
36,PPO,9/11/20,9/16/20,0,2
41,Phero,9/11/20,9/16/20,0,2
42,Peterson,9/11/20,9/16/20,0,2
43,PPO,9/11/20,9/16/20,0,2
51,Peterson,9/11/20,9/16/20,0,2
55,Phero,9/11/20,9/16/20,0,2
56,PPO,9/11/20,9/16/20,1,2
62,PPO,9/11/20,9/16/20,4,2
64,Phero,9/11/20,9/16/20,0,2
65,Peterson,9/11/20,9/16/20,0,2
71,PPO,9/11/20,9/16/20,6,2
72,Phero,9/11/20,9/16/20,1,2
73,Peterson,9/11/20,9/16/20,0,2
14,Phero,9/16/20,9/17/20,32,2
15,PPO,9/16/20,9/17/20,0,2
16,Peterson,9/16/20,9/17/20,0,2
22,Peterson,9/16/20,9/17/20,0,2
23,Phero,9/16/20,9/17/20,16,2
25,PPO,9/16/20,9/17/20,0,2
34,Peterson,9/16/20,9/17/20,0,2
35,Phero,9/16/20,9/17/20,16,2
36,PPO,9/16/20,9/17/20,0,2
41,Phero,9/16/20,9/17/20,24,2
42,Peterson,9/16/20,9/17/20,0,2
43,PPO,9/16/20,9/17/20,0,2
51,Peterson,9/16/20,9/17/20,0,2
55,Phero,9/16/20,9/17/20,18,2
56,PPO,9/16/20,9/17/20,0,2
62,PPO,9/16/20,9/17/20,0,2
64,Phero,9/16/20,9/17/20,36,2
65,Peterson,9/16/20,9/17/20,0,2
71,PPO,9/16/20,9/17/20,2,2
72,Phero,9/16/20,9/17/20,41,2
73,Peterson,9/16/20,9/17/20,0,2
13,Phero,9/17/20,9/23/20,40,3
14,PPO,9/17/20,9/23/20,11,3
15,Peterson,9/17/20,9/23/20,0,3
21,Peterson,9/17/20,9/23/20,0,3
22,Phero,9/17/20,9/23/20,73,3
24,PPO,9/17/20,9/23/20,0,3
33,Peterson,9/17/20,9/23/20,0,3
34,Phero,9/17/20,9/23/20,54,3
35,PPO,9/17/20,9/23/20,4,3
41,Peterson,9/17/20,9/23/20,0,3
42,PPO,9/17/20,9/23/20,2,3
46,Phero,9/17/20,9/23/20,37,3
54,Phero,9/17/20,9/23/20,52,3
55,PPO,9/17/20,9/23/20,1,3
56,Peterson,9/17/20,9/23/20,3,3
61,PPO,9/17/20,9/23/20,4,3
63,Phero,9/17/20,9/23/20,73,3
64,Peterson,9/17/20,9/23/20,0,3
71,Phero,9/17/20,9/23/20,86,3
72,Peterson,9/17/20,9/23/20,0,3
76,PPO,9/17/20,9/23/20,9,3
14,Phero,10/14/20,10/21/20,2,4
15,PPO,10/14/20,10/21/20,1,4
16,Peterson,10/14/20,10/21/20,0,4
22,Peterson,10/14/20,10/21/20,1,4
23,Phero,10/14/20,10/21/20,17,4
25,PPO,10/14/20,10/21/20,0,4
34,Peterson,10/14/20,10/21/20,0,4
35,Phero,10/14/20,10/21/20,34,4
36,PPO,10/14/20,10/21/20,2,4
41,Phero,10/14/20,10/21/20,23,4
42,Peterson,10/14/20,10/21/20,2,4
43,PPO,10/14/20,10/21/20,6,4
51,Peterson,10/14/20,10/21/20,0,4
55,Phero,10/14/20,10/21/20,20,4
56,PPO,10/14/20,10/21/20,1,4
62,PPO,10/14/20,10/21/20,0,4
64,Phero,10/14/20,10/21/20,3,4
65,Peterson,10/14/20,10/21/20,0,4
71,PPO,10/14/20,10/21/20,9,4
72,Phero,10/14/20,10/21/20,37,4
73,Peterson,10/14/20,10/21/20,0,4
14,Phero,10/21/20,10/28/20,0,4
15,PPO,10/21/20,10/28/20,0,4
16,Peterson,10/21/20,10/28/20,0,4
22,Peterson,10/21/20,10/28/20,0,4
23,Phero,10/21/20,10/28/20,5,4
25,PPO,10/21/20,10/28/20,0,4
34,Peterson,10/21/20,10/28/20,1,4
35,Phero,10/21/20,10/28/20,7,4
36,PPO,10/21/20,10/28/20,0,4
41,Phero,10/21/20,10/28/20,5,4
42,Peterson,10/21/20,10/28/20,1,4
43,PPO,10/21/20,10/28/20,0,4
51,Peterson,10/21/20,10/28/20,0,4
55,Phero,10/21/20,10/28/20,3,4
56,PPO,10/21/20,10/28/20,2,4
62,PPO,10/21/20,10/28/20,1,4
64,Phero,10/21/20,10/28/20,0,4
65,Peterson,10/21/20,10/28/20,0,4
71,PPO,10/21/20,10/28/20,3,4
72,Phero,10/21/20,10/28/20,3,4
73,Peterson,10/21/20,10/28/20,0,4
14,Phero,10/28/20,11/4/20,0,4
15,PPO,10/28/20,11/4/20,0,4
16,Peterson,10/28/20,11/4/20,0,4
22,Peterson,10/28/20,11/4/20,0,4
23,Phero,10/28/20,11/4/20,3,4
25,PPO,10/28/20,11/4/20,0,4
34,Peterson,10/28/20,11/4/20,0,4
35,Phero,10/28/20,11/4/20,8,4
36,PPO,10/28/20,11/4/20,0,4
41,Phero,10/28/20,11/4/20,1,4
42,Peterson,10/28/20,11/4/20,0,4
43,PPO,10/28/20,11/4/20,0,4
51,Peterson,10/28/20,11/4/20,0,4
55,Phero,10/28/20,11/4/20,0,4
56,PPO,10/28/20,11/4/20,0,4
62,PPO,10/28/20,11/4/20,0,4
64,Phero,10/28/20,11/4/20,0,4
65,Peterson,10/28/20,11/4/20,0,4
71,PPO,10/28/20,11/4/20,5,4
72,Phero,10/28/20,11/4/20,0,4
73,Peterson,10/28/20,11/4/20,0,4
