"RandStart","randCode","intervalID","PlotID","TrapType","Lure","SerialCode","StartDate","EndDate","Count"
2020-07-10,"b",3,75,"Farmsense","PPO","FS-322",2020-07-10,2020-07-16,12
2020-07-10,"b",3,76,"Farmsense","Phero","FS-326",2020-07-10,2020-07-16,27
2020-07-10,"b",4,11,"Farmsense","Ovibait","FS-352",2020-07-16,2020-07-22,0
2020-07-10,"b",4,12,"Farmsense","Phero","FS-354",2020-07-16,2020-07-22,0
2020-07-10,"b",4,13,"Farmsense","PPO","FS-328",2020-07-16,2020-07-22,0
2020-07-10,"b",4,21,"Farmsense","Ovibait","FS-358",2020-07-16,2020-07-22,0
2020-07-10,"b",4,24,"Farmsense","Phero","FS-353",2020-07-16,2020-07-22,6
2020-07-10,"b",4,26,"Farmsense","PPO","FS-342",2020-07-16,2020-07-22,3
2020-07-10,"b",4,31,"Farmsense","Ovibait","FS-389",2020-07-16,2020-07-22,6
2020-07-10,"b",4,32,"Farmsense","Phero","FS-396",2020-07-16,2020-07-22,10
2020-07-10,"b",4,33,"Farmsense","PPO","FS-387",2020-07-16,2020-07-22,4
2020-07-10,"b",4,44,"Farmsense","Phero","FS-330",2020-07-16,2020-07-22,8
2020-07-10,"b",4,45,"Farmsense","Ovibait","FS-360",2020-07-16,2020-07-22,24
2020-07-10,"b",4,46,"Farmsense","PPO","FS-329",2020-07-16,2020-07-22,0
2020-07-10,"b",4,52,"Farmsense","Ovibait","FS-349",2020-07-16,2020-07-22,7
2020-07-10,"b",4,53,"Farmsense","PPO","FS-333",2020-07-16,2020-07-22,8
2020-07-10,"b",4,54,"Farmsense","Phero","FS-361",2020-07-16,2020-07-22,0
2020-07-10,"b",4,61,"Farmsense","Phero","FS-390",2020-07-16,2020-07-22,11
2020-07-10,"b",4,63,"Farmsense","PPO","FS-359",2020-07-16,2020-07-22,0
2020-07-10,"b",4,66,"Farmsense","Ovibait","FS-393",2020-07-16,2020-07-22,50
2020-07-10,"b",4,74,"Farmsense","Ovibait","FS-392",2020-07-16,2020-07-22,9
2020-07-10,"b",4,75,"Farmsense","PPO","FS-322",2020-07-16,2020-07-22,11
2020-07-10,"b",4,76,"Farmsense","Phero","FS-326",2020-07-16,2020-07-22,21
2020-07-10,"b",5,11,"Farmsense","Ovibait","FS-352",2020-07-22,2020-07-29,0
2020-07-10,"b",5,12,"Farmsense","Phero","FS-354",2020-07-22,2020-07-29,4
2020-07-10,"b",5,13,"Farmsense","PPO","FS-328",2020-07-22,2020-07-29,0
2020-07-10,"b",5,21,"Farmsense","Ovibait","FS-358",2020-07-22,2020-07-29,0
2020-07-10,"b",5,24,"Farmsense","Phero","FS-353",2020-07-22,2020-07-29,9
2020-07-10,"b",5,26,"Farmsense","PPO","FS-342",2020-07-22,2020-07-29,0
2020-07-10,"b",5,31,"Farmsense","Ovibait","FS-389",2020-07-22,2020-07-29,18
2020-07-10,"b",5,32,"Farmsense","Phero","FS-396",2020-07-22,2020-07-29,7
2020-07-10,"b",5,33,"Farmsense","PPO","FS-387",2020-07-22,2020-07-29,6
2020-07-10,"b",5,44,"Farmsense","Phero","FS-330",2020-07-22,2020-07-29,7
2020-07-10,"b",5,45,"Farmsense","Ovibait","FS-360",2020-07-22,2020-07-29,33
2020-07-10,"b",5,46,"Farmsense","PPO","FS-329",2020-07-22,2020-07-29,0
2020-07-10,"b",5,52,"Farmsense","Ovibait","FS-349",2020-07-22,2020-07-29,22
2020-07-10,"b",5,53,"Farmsense","PPO","FS-333",2020-07-22,2020-07-29,7
2020-07-10,"b",5,54,"Farmsense","Phero","FS-361",2020-07-22,2020-07-29,0
2020-07-10,"b",5,61,"Farmsense","Phero","FS-390",2020-07-22,2020-07-29,16
2020-07-10,"b",5,63,"Farmsense","PPO","FS-359",2020-07-22,2020-07-29,0
2020-07-10,"b",5,66,"Farmsense","Ovibait","FS-393",2020-07-22,2020-07-29,52
2020-07-10,"b",5,74,"Farmsense","Ovibait","FS-392",2020-07-22,2020-07-29,4
2020-07-10,"b",5,75,"Farmsense","PPO","FS-322",2020-07-22,2020-07-29,22
2020-07-10,"b",5,76,"Farmsense","Phero","FS-326",2020-07-22,2020-07-29,25
2020-07-10,"b",6,11,"Farmsense","Ovibait","FS-352",2020-07-29,2020-08-06,1
2020-07-10,"b",6,12,"Farmsense","Phero","FS-354",2020-07-29,2020-08-06,7
2020-07-10,"b",6,13,"Farmsense","PPO","FS-328",2020-07-29,2020-08-06,0
2020-07-10,"b",6,21,"Farmsense","Ovibait","FS-358",2020-07-29,2020-08-06,2
2020-07-10,"b",6,24,"Farmsense","Phero","FS-353",2020-07-29,2020-08-06,12
2020-07-10,"b",6,26,"Farmsense","PPO","FS-342",2020-07-29,2020-08-06,2
2020-07-10,"b",6,31,"Farmsense","Ovibait","FS-389",2020-07-29,2020-08-06,24
2020-07-10,"b",6,32,"Farmsense","Phero","FS-396",2020-07-29,2020-08-06,6
2020-07-10,"b",6,33,"Farmsense","PPO","FS-387",2020-07-29,2020-08-06,5
2020-07-10,"b",6,44,"Farmsense","Phero","FS-330",2020-07-29,2020-08-06,2
2020-07-10,"b",6,45,"Farmsense","Ovibait","FS-360",2020-07-29,2020-08-06,33
2020-07-10,"b",6,46,"Farmsense","PPO","FS-329",2020-07-29,2020-08-06,0
2020-07-10,"b",6,52,"Farmsense","Ovibait","FS-349",2020-07-29,2020-08-06,51
2020-07-10,"b",6,53,"Farmsense","PPO","FS-333",2020-07-29,2020-08-06,20
2020-07-10,"b",6,54,"Farmsense","Phero","FS-361",2020-07-29,2020-08-06,0
2020-07-10,"b",6,61,"Farmsense","Phero","FS-390",2020-07-29,2020-08-06,27
2020-07-10,"b",6,63,"Farmsense","PPO","FS-359",2020-07-29,2020-08-06,2
2020-07-10,"b",6,66,"Farmsense","Ovibait","FS-393",2020-07-29,2020-08-06,46
2020-07-10,"b",6,74,"Farmsense","Ovibait","FS-392",2020-07-29,2020-08-06,0
2020-07-10,"b",6,75,"Farmsense","PPO","FS-322",2020-07-29,2020-08-06,30
2020-07-10,"b",6,76,"Farmsense","Phero","FS-326",2020-07-29,2020-08-06,32
2020-07-10,"b",7,11,"Farmsense","Ovibait","FS-352",2020-08-06,2020-08-12,1
2020-07-10,"b",7,12,"Farmsense","Phero","FS-354",2020-08-06,2020-08-12,12
2020-07-10,"b",7,13,"Farmsense","PPO","FS-328",2020-08-06,2020-08-12,0
2020-07-10,"b",7,21,"Farmsense","Ovibait","FS-358",2020-08-06,2020-08-12,1
2020-07-10,"b",7,24,"Farmsense","Phero","FS-353",2020-08-06,2020-08-12,29
2020-07-10,"b",7,26,"Farmsense","PPO","FS-342",2020-08-06,2020-08-12,4
2020-07-10,"b",7,31,"Farmsense","Ovibait","FS-389",2020-08-06,2020-08-12,14
2020-07-10,"b",7,32,"Farmsense","Phero","FS-396",2020-08-06,2020-08-12,11
2020-07-10,"b",7,33,"Farmsense","PPO","FS-387",2020-08-06,2020-08-12,4
2020-07-10,"b",7,44,"Farmsense","Phero","FS-330",2020-08-06,2020-08-12,3
2020-07-10,"b",7,45,"Farmsense","Ovibait","FS-360",2020-08-06,2020-08-12,24
2020-07-10,"b",7,46,"Farmsense","PPO","FS-329",2020-08-06,2020-08-12,0
2020-07-10,"b",7,52,"Farmsense","Ovibait","FS-349",2020-08-06,2020-08-12,17
2020-07-10,"b",7,53,"Farmsense","PPO","FS-333",2020-08-06,2020-08-12,6
2020-07-10,"b",7,54,"Farmsense","Phero","FS-361",2020-08-06,2020-08-12,8
2020-07-10,"b",7,61,"Farmsense","Phero","FS-390",2020-08-06,2020-08-12,11
2020-07-10,"b",7,63,"Farmsense","PPO","FS-359",2020-08-06,2020-08-12,2
2020-07-10,"b",7,66,"Farmsense","Ovibait","FS-393",2020-08-06,2020-08-12,28
2020-07-10,"b",7,74,"Farmsense","Ovibait","FS-392",2020-08-06,2020-08-12,0
2020-07-10,"b",7,75,"Farmsense","PPO","FS-322",2020-08-06,2020-08-12,22
2020-07-10,"b",7,76,"Farmsense","Phero","FS-326",2020-08-06,2020-08-12,41
2020-07-10,"b",8,11,"Farmsense","Ovibait","FS-352",2020-08-12,2020-08-20,0
2020-07-10,"b",8,12,"Farmsense","Phero","FS-354",2020-08-12,2020-08-20,5
2020-07-10,"b",8,13,"Farmsense","PPO","FS-328",2020-08-12,2020-08-20,0
2020-07-10,"b",8,21,"Farmsense","Ovibait","FS-358",2020-08-12,2020-08-20,2
2020-07-10,"b",8,24,"Farmsense","Phero","FS-353",2020-08-12,2020-08-20,12
2020-07-10,"b",8,26,"Farmsense","PPO","FS-342",2020-08-12,2020-08-20,0
2020-07-10,"b",8,31,"Farmsense","Ovibait","FS-389",2020-08-12,2020-08-20,5
2020-07-10,"b",8,32,"Farmsense","Phero","FS-396",2020-08-12,2020-08-20,13
2020-07-10,"b",8,33,"Farmsense","PPO","FS-387",2020-08-12,2020-08-20,4
2020-07-10,"b",8,44,"Farmsense","Phero","FS-330",2020-08-12,2020-08-20,5
2020-07-10,"b",8,45,"Farmsense","Ovibait","FS-360",2020-08-12,2020-08-20,6
2020-07-10,"b",8,46,"Farmsense","PPO","FS-329",2020-08-12,2020-08-20,0
2020-07-10,"b",8,52,"Farmsense","Ovibait","FS-349",2020-08-12,2020-08-20,6
2020-07-10,"b",8,53,"Farmsense","PPO","FS-333",2020-08-12,2020-08-20,4
2020-07-10,"b",8,54,"Farmsense","Phero","FS-361",2020-08-12,2020-08-20,4
2020-07-10,"b",8,61,"Farmsense","Phero","FS-390",2020-08-12,2020-08-20,32
2020-07-10,"b",8,63,"Farmsense","PPO","FS-359",2020-08-12,2020-08-20,3
2020-07-10,"b",8,66,"Farmsense","Ovibait","FS-393",2020-08-12,2020-08-20,7
2020-07-10,"b",8,74,"Farmsense","Ovibait","FS-392",2020-08-12,2020-08-20,0
2020-07-10,"b",8,75,"Farmsense","PPO","FS-322",2020-08-12,2020-08-20,12
2020-07-10,"b",8,76,"Farmsense","Phero","FS-326",2020-08-12,2020-08-20,31
2020-07-10,"b",9,11,"Farmsense","Ovibait","FS-352",2020-08-20,2020-08-27,0
2020-07-10,"b",9,12,"Farmsense","Phero","FS-354",2020-08-20,2020-08-27,0
2020-07-10,"b",9,13,"Farmsense","PPO","FS-328",2020-08-20,2020-08-27,0
2020-07-10,"b",9,21,"Farmsense","Ovibait","FS-358",2020-08-20,2020-08-27,1
2020-07-10,"b",9,24,"Farmsense","Phero","FS-353",2020-08-20,2020-08-27,3
2020-07-10,"b",9,26,"Farmsense","PPO","FS-342",2020-08-20,2020-08-27,1
2020-07-10,"b",9,31,"Farmsense","Ovibait","FS-389",2020-08-20,2020-08-27,1
2020-07-10,"b",9,32,"Farmsense","Phero","FS-396",2020-08-20,2020-08-27,1
2020-07-10,"b",9,33,"Farmsense","PPO","FS-387",2020-08-20,2020-08-27,4
2020-07-10,"b",9,44,"Farmsense","Phero","FS-330",2020-08-20,2020-08-27,8
2020-07-10,"b",9,45,"Farmsense","Ovibait","FS-360",2020-08-20,2020-08-27,1
2020-07-10,"b",9,46,"Farmsense","PPO","FS-329",2020-08-20,2020-08-27,0
2020-07-10,"b",9,52,"Farmsense","Ovibait","FS-349",2020-08-20,2020-08-27,2
2020-07-10,"b",9,53,"Farmsense","PPO","FS-333",2020-08-20,2020-08-27,5
2020-07-10,"b",9,54,"Farmsense","Phero","FS-361",2020-08-20,2020-08-27,0
2020-07-10,"b",9,61,"Farmsense","Phero","FS-390",2020-08-20,2020-08-27,1
2020-07-10,"b",9,63,"Farmsense","PPO","FS-359",2020-08-20,2020-08-27,3
2020-07-10,"b",9,66,"Farmsense","Ovibait","FS-393",2020-08-20,2020-08-27,4
2020-07-10,"b",9,74,"Farmsense","Ovibait","FS-392",2020-08-20,2020-08-27,0
2020-07-10,"b",9,75,"Farmsense","PPO","FS-322",2020-08-20,2020-08-27,7
2020-07-10,"b",9,76,"Farmsense","Phero","FS-326",2020-08-20,2020-08-27,12
2020-07-10,"b",10,11,"Farmsense","Ovibait","FS-352",2020-08-27,2020-09-03,0
2020-07-10,"b",10,12,"Farmsense","Phero","FS-354",2020-08-27,2020-09-03,0
2020-07-10,"b",10,13,"Farmsense","PPO","FS-328",2020-08-27,2020-09-03,0
2020-07-10,"b",10,21,"Farmsense","Ovibait","FS-358",2020-08-27,2020-09-03,0
2020-07-10,"b",10,24,"Farmsense","Phero","FS-353",2020-08-27,2020-09-03,3
2020-07-10,"b",10,26,"Farmsense","PPO","FS-342",2020-08-27,2020-09-03,0
2020-07-10,"b",10,31,"Farmsense","Ovibait","FS-389",2020-08-27,2020-09-03,1
2020-07-10,"b",10,32,"Farmsense","Phero","FS-396",2020-08-27,2020-09-03,2
2020-07-10,"b",10,33,"Farmsense","PPO","FS-387",2020-08-27,2020-09-03,0
2020-07-10,"b",10,44,"Farmsense","Phero","FS-330",2020-08-27,2020-09-03,2
2020-07-10,"b",10,45,"Farmsense","Ovibait","FS-360",2020-08-27,2020-09-03,3
2020-07-10,"b",10,46,"Farmsense","PPO","FS-329",2020-08-27,2020-09-03,1
2020-07-10,"b",10,52,"Farmsense","Ovibait","FS-349",2020-08-27,2020-09-03,1
2020-07-10,"b",10,53,"Farmsense","PPO","FS-333",2020-08-27,2020-09-03,1
2020-07-10,"b",10,54,"Farmsense","Phero","FS-361",2020-08-27,2020-09-03,0
2020-07-10,"b",10,61,"Farmsense","Phero","FS-390",2020-08-27,2020-09-03,0
2020-07-10,"b",10,63,"Farmsense","PPO","FS-359",2020-08-27,2020-09-03,3
2020-07-10,"b",10,66,"Farmsense","Ovibait","FS-393",2020-08-27,2020-09-03,2
2020-07-10,"b",10,74,"Farmsense","Ovibait","FS-392",2020-08-27,2020-09-03,0
2020-07-10,"b",10,75,"Farmsense","PPO","FS-322",2020-08-27,2020-09-03,9
2020-07-10,"b",10,76,"Farmsense","Phero","FS-326",2020-08-27,2020-09-03,10
2020-07-10,"b",11,11,"Farmsense","Ovibait","FS-352",2020-09-03,2020-09-11,0
2020-07-10,"b",11,12,"Farmsense","Phero","FS-354",2020-09-03,2020-09-11,2
2020-07-10,"b",11,13,"Farmsense","PPO","FS-328",2020-09-03,2020-09-11,0
2020-07-10,"b",11,21,"Farmsense","Ovibait","FS-358",2020-09-03,2020-09-11,0
2020-07-10,"b",11,24,"Farmsense","Phero","FS-353",2020-09-03,2020-09-11,4
2020-07-10,"b",11,26,"Farmsense","PPO","FS-342",2020-09-03,2020-09-11,0
2020-07-10,"b",11,31,"Farmsense","Ovibait","FS-389",2020-09-03,2020-09-11,0
2020-07-10,"b",11,32,"Farmsense","Phero","FS-396",2020-09-03,2020-09-11,2
2020-07-10,"b",11,33,"Farmsense","PPO","FS-387",2020-09-03,2020-09-11,2
2020-07-10,"b",11,44,"Farmsense","Phero","FS-330",2020-09-03,2020-09-11,3
2020-07-10,"b",11,45,"Farmsense","Ovibait","FS-360",2020-09-03,2020-09-11,0
2020-07-10,"b",11,46,"Farmsense","PPO","FS-329",2020-09-03,2020-09-11,0
2020-07-10,"b",11,52,"Farmsense","Ovibait","FS-349",2020-09-03,2020-09-11,0
2020-07-10,"b",11,53,"Farmsense","PPO","FS-333",2020-09-03,2020-09-11,0
2020-07-10,"b",11,54,"Farmsense","Phero","FS-361",2020-09-03,2020-09-11,0
2020-07-10,"b",11,61,"Farmsense","Phero","FS-390",2020-09-03,2020-09-11,6
2020-07-10,"b",11,63,"Farmsense","PPO","FS-359",2020-09-03,2020-09-11,2
2020-07-10,"b",11,66,"Farmsense","Ovibait","FS-393",2020-09-03,2020-09-11,0
2020-07-10,"b",11,74,"Farmsense","Ovibait","FS-392",2020-09-03,2020-09-11,0
2020-07-10,"b",11,75,"Farmsense","PPO","FS-322",2020-09-03,2020-09-11,8
2020-07-10,"b",11,76,"Farmsense","Phero","FS-326",2020-09-03,2020-09-11,55
2020-07-10,"b",12,11,"Farmsense","Ovibait","FS-352",2020-09-11,2020-09-16,0
2020-07-10,"b",12,12,"Farmsense","Phero","FS-354",2020-09-11,2020-09-16,0
2020-07-10,"b",12,13,"Farmsense","PPO","FS-328",2020-09-11,2020-09-16,0
2020-07-10,"b",12,21,"Farmsense","Ovibait","FS-358",2020-09-11,2020-09-16,0
2020-07-10,"b",12,24,"Farmsense","Phero","FS-353",2020-09-11,2020-09-16,0
2020-07-10,"b",12,26,"Farmsense","PPO","FS-342",2020-09-11,2020-09-16,0
2020-07-10,"b",12,31,"Farmsense","Ovibait","FS-389",2020-09-11,2020-09-16,0
2020-07-10,"b",12,32,"Farmsense","Phero","FS-396",2020-09-11,2020-09-16,0
2020-07-10,"b",12,33,"Farmsense","PPO","FS-387",2020-09-11,2020-09-16,0
2020-07-10,"b",12,44,"Farmsense","Phero","FS-330",2020-09-11,2020-09-16,0
2020-07-10,"b",12,45,"Farmsense","Ovibait","FS-360",2020-09-11,2020-09-16,0
2020-07-10,"b",12,46,"Farmsense","PPO","FS-329",2020-09-11,2020-09-16,0
2020-07-10,"b",12,52,"Farmsense","Ovibait","FS-349",2020-09-11,2020-09-16,0
2020-07-10,"b",12,53,"Farmsense","PPO","FS-333",2020-09-11,2020-09-16,0
2020-07-10,"b",12,54,"Farmsense","Phero","FS-361",2020-09-11,2020-09-16,0
2020-07-10,"b",12,61,"Farmsense","Phero","FS-390",2020-09-11,2020-09-16,0
2020-07-10,"b",12,63,"Farmsense","PPO","FS-359",2020-09-11,2020-09-16,0
2020-07-10,"b",12,66,"Farmsense","Ovibait","FS-393",2020-09-11,2020-09-16,0
2020-07-10,"b",12,74,"Farmsense","Ovibait","FS-392",2020-09-11,2020-09-16,0
2020-07-10,"b",12,75,"Farmsense","PPO","FS-322",2020-09-11,2020-09-16,0
2020-07-10,"b",12,76,"Farmsense","Phero","FS-326",2020-09-11,2020-09-16,4
2020-07-10,"b",13,11,"Farmsense","Ovibait","FS-352",2020-09-16,2020-09-17,0
2020-07-10,"b",13,12,"Farmsense","Phero","FS-354",2020-09-16,2020-09-17,0
2020-07-10,"b",13,13,"Farmsense","PPO","FS-328",2020-09-16,2020-09-17,0
2020-07-10,"b",13,21,"Farmsense","Ovibait","FS-358",2020-09-16,2020-09-17,0
2020-07-10,"b",13,24,"Farmsense","Phero","FS-353",2020-09-16,2020-09-17,12
2020-07-10,"b",13,26,"Farmsense","PPO","FS-342",2020-09-16,2020-09-17,0
2020-07-10,"b",13,31,"Farmsense","Ovibait","FS-389",2020-09-16,2020-09-17,0
2020-07-10,"b",13,32,"Farmsense","Phero","FS-396",2020-09-16,2020-09-17,8
2020-07-10,"b",13,33,"Farmsense","PPO","FS-387",2020-09-16,2020-09-17,0
2020-07-10,"b",13,44,"Farmsense","Phero","FS-330",2020-09-16,2020-09-17,18
2020-07-10,"b",13,45,"Farmsense","Ovibait","FS-360",2020-09-16,2020-09-17,0
2020-07-10,"b",13,46,"Farmsense","PPO","FS-329",2020-09-16,2020-09-17,0
2020-07-10,"b",13,52,"Farmsense","Ovibait","FS-349",2020-09-16,2020-09-17,0
2020-07-10,"b",13,53,"Farmsense","PPO","FS-333",2020-09-16,2020-09-17,0
2020-07-10,"b",13,54,"Farmsense","Phero","FS-361",2020-09-16,2020-09-17,2
2020-07-10,"b",13,61,"Farmsense","Phero","FS-390",2020-09-16,2020-09-17,5
2020-07-10,"b",13,63,"Farmsense","PPO","FS-359",2020-09-16,2020-09-17,7
2020-07-10,"b",13,66,"Farmsense","Ovibait","FS-393",2020-09-16,2020-09-17,0
2020-07-10,"b",13,74,"Farmsense","Ovibait","FS-392",2020-09-16,2020-09-17,0
2020-07-10,"b",13,75,"Farmsense","PPO","FS-322",2020-09-16,2020-09-17,0
2020-07-10,"b",13,76,"Farmsense","Phero","FS-326",2020-09-16,2020-09-17,26
2020-09-17,"c",14,11,"Farmsense","Phero","FS-354",2020-09-17,2020-09-23,0
2020-09-17,"c",14,12,"Farmsense","PPO","FS-328",2020-09-17,2020-09-23,0
2020-09-17,"c",14,16,"Farmsense","Ovibait","FS-352",2020-09-17,2020-09-23,0
2020-09-17,"c",14,23,"Farmsense","Phero","FS-353",2020-09-17,2020-09-23,32
2020-09-17,"c",14,25,"Farmsense","PPO","FS-342",2020-09-17,2020-09-23,0
2020-09-17,"c",14,26,"Farmsense","Ovibait","FS-358",2020-09-17,2020-09-23,0
2020-09-17,"c",14,31,"Farmsense","Phero","FS-396",2020-09-17,2020-09-23,0
2020-09-17,"c",14,32,"Farmsense","PPO","FS-387",2020-09-17,2020-09-23,0
2020-09-17,"c",14,36,"Farmsense","Ovibait","FS-389",2020-09-17,2020-09-23,0
2020-09-17,"c",14,43,"Farmsense","Phero","FS-330",2020-09-17,2020-09-23,19
2020-09-17,"c",14,44,"Farmsense","Ovibait","FS-360",2020-09-17,2020-09-23,0
2020-09-17,"c",14,45,"Farmsense","PPO","FS-329",2020-09-17,2020-09-23,0
2020-09-17,"c",14,51,"Farmsense","Ovibait","FS-349",2020-09-17,2020-09-23,0
2020-09-17,"c",14,52,"Farmsense","PPO","FS-333",2020-09-17,2020-09-23,0
2020-09-17,"c",14,53,"Farmsense","Phero","FS-361",2020-09-17,2020-09-23,96
2020-09-17,"c",14,62,"Farmsense","PPO","FS-359",2020-09-17,2020-09-23,0
2020-09-17,"c",14,65,"Farmsense","Ovibait","FS-393",2020-09-17,2020-09-23,0
2020-09-17,"c",14,66,"Farmsense","Phero","FS-390",2020-09-17,2020-09-23,15
2020-09-17,"c",14,73,"Farmsense","Ovibait","FS-392",2020-09-17,2020-09-23,0
2020-09-17,"c",14,74,"Farmsense","PPO","FS-322",2020-09-17,2020-09-23,0
2020-09-17,"c",14,75,"Farmsense","Phero","FS-326",2020-09-17,2020-09-23,153
2020-10-21,"d",15,11,"Farmsense","Ovibait","FS-352",2020-10-14,2020-10-21,0
2020-10-21,"d",15,12,"Farmsense","Phero","FS-354",2020-10-14,2020-10-21,0
2020-10-21,"d",15,13,"Farmsense","PPO","FS-328",2020-10-14,2020-10-21,0
2020-10-21,"d",15,21,"Farmsense","Ovibait","FS-358",2020-10-14,2020-10-21,0
2020-10-21,"d",15,24,"Farmsense","Phero","FS-353",2020-10-14,2020-10-21,0
2020-10-21,"d",15,26,"Farmsense","PPO","FS-342",2020-10-14,2020-10-21,1
2020-10-21,"d",15,31,"Farmsense","Ovibait","FS-389",2020-10-14,2020-10-21,0
2020-10-21,"d",15,32,"Farmsense","Phero","FS-396",2020-10-14,2020-10-21,0
2020-10-21,"d",15,33,"Farmsense","PPO","FS-387",2020-10-14,2020-10-21,0
2020-10-21,"d",15,44,"Farmsense","Phero","FS-330",2020-10-14,2020-10-21,2
2020-10-21,"d",15,45,"Farmsense","Ovibait","FS-360",2020-10-14,2020-10-21,0
2020-10-21,"d",15,46,"Farmsense","PPO","FS-329",2020-10-14,2020-10-21,0
2020-10-21,"d",15,52,"Farmsense","Ovibait","FS-349",2020-10-14,2020-10-21,0
2020-10-21,"d",15,53,"Farmsense","PPO","FS-333",2020-10-14,2020-10-21,0
2020-10-21,"d",15,54,"Farmsense","Phero","FS-361",2020-10-14,2020-10-21,2
2020-10-21,"d",15,61,"Farmsense","Phero","FS-390",2020-10-14,2020-10-21,4
2020-10-21,"d",15,63,"Farmsense","PPO","FS-359",2020-10-14,2020-10-21,3
2020-10-21,"d",15,66,"Farmsense","Ovibait","FS-393",2020-10-14,2020-10-21,0
2020-10-21,"d",15,74,"Farmsense","Ovibait","FS-392",2020-10-14,2020-10-21,0
2020-10-21,"d",15,75,"Farmsense","PPO","FS-322",2020-10-14,2020-10-21,0
2020-10-21,"d",15,76,"Farmsense","Phero","FS-326",2020-10-14,2020-10-21,5
2020-10-21,"d",16,11,"Farmsense","Ovibait","FS-352",2020-10-21,2020-10-28,0
2020-10-21,"d",16,12,"Farmsense","Phero","FS-354",2020-10-21,2020-10-28,0
2020-10-21,"d",16,13,"Farmsense","PPO","FS-328",2020-10-21,2020-10-28,0
2020-10-21,"d",16,21,"Farmsense","Ovibait","FS-358",2020-10-21,2020-10-28,0
2020-10-21,"d",16,24,"Farmsense","Phero","FS-353",2020-10-21,2020-10-28,0
2020-10-21,"d",16,26,"Farmsense","PPO","FS-342",2020-10-21,2020-10-28,0
2020-10-21,"d",16,31,"Farmsense","Ovibait","FS-389",2020-10-21,2020-10-28,0
2020-10-21,"d",16,32,"Farmsense","Phero","FS-396",2020-10-21,2020-10-28,0
2020-10-21,"d",16,33,"Farmsense","PPO","FS-387",2020-10-21,2020-10-28,0
2020-10-21,"d",16,44,"Farmsense","Phero","FS-330",2020-10-21,2020-10-28,0
2020-10-21,"d",16,45,"Farmsense","Ovibait","FS-360",2020-10-21,2020-10-28,0
2020-10-21,"d",16,46,"Farmsense","PPO","FS-329",2020-10-21,2020-10-28,0
2020-10-21,"d",16,52,"Farmsense","Ovibait","FS-349",2020-10-21,2020-10-28,12
2020-10-21,"d",16,53,"Farmsense","PPO","FS-333",2020-10-21,2020-10-28,0
2020-10-21,"d",16,54,"Farmsense","Phero","FS-361",2020-10-21,2020-10-28,0
2020-10-21,"d",16,61,"Farmsense","Phero","FS-390",2020-10-21,2020-10-28,2
2020-10-21,"d",16,63,"Farmsense","PPO","FS-359",2020-10-21,2020-10-28,0
2020-10-21,"d",16,66,"Farmsense","Ovibait","FS-393",2020-10-21,2020-10-28,0
2020-10-21,"d",16,74,"Farmsense","Ovibait","FS-392",2020-10-21,2020-10-28,0
2020-10-21,"d",16,75,"Farmsense","PPO","FS-322",2020-10-21,2020-10-28,0
2020-10-21,"d",16,76,"Farmsense","Phero","FS-326",2020-10-21,2020-10-28,0
2020-10-21,"d",17,11,"Farmsense","Ovibait","FS-352",2020-10-28,2020-11-04,0
2020-10-21,"d",17,12,"Farmsense","Phero","FS-354",2020-10-28,2020-11-04,0
