"SerialCode","dt_utc","degC","rh","dt_pdt","date_pdt","hr_pdt","eve_morn","intervalID"
"FS-396",2020-07-18 13:40:19,22.53,64.53,2020-07-18 06:40:19,2020-07-18,6,"am",4
"FS-396",2020-07-18 13:44:46,23.79,59.78,2020-07-18 06:44:46,2020-07-18,6,"am",4
"FS-396",2020-07-18 13:50:10,25.1,55.5,2020-07-18 06:50:10,2020-07-18,6,"am",4
"FS-396",2020-07-19 13:25:04,18.09,82.61,2020-07-19 06:25:04,2020-07-19,6,"am",4
"FS-396",2020-07-19 13:50:38,26.36,54.16,2020-07-19 06:50:38,2020-07-19,6,"am",4
"FS-396",2020-07-20 13:20:43,16.63,91.51,2020-07-20 06:20:43,2020-07-20,6,"am",4
"FS-396",2020-07-20 13:22:44,17.16,89.42,2020-07-20 06:22:44,2020-07-20,6,"am",4
"FS-396",2020-07-21 13:29:06,18.21,77.61,2020-07-21 06:29:06,2020-07-21,6,"am",4
"FS-396",2020-07-24 13:28:04,16.75,82.36,2020-07-24 06:28:04,2020-07-24,6,"am",5
"FS-396",2020-07-24 13:36:55,19.94,71.1,2020-07-24 06:36:55,2020-07-24,6,"am",5
"FS-396",2020-07-24 13:53:46,25.37,53.43,2020-07-24 06:53:46,2020-07-24,6,"am",5
"FS-396",2020-07-26 13:32:17,18.37,80.14,2020-07-26 06:32:17,2020-07-26,6,"am",5
"FS-396",2020-07-28 13:34:27,19.12,75.55,2020-07-28 06:34:27,2020-07-28,6,"am",5
"FS-396",2020-07-29 13:36:01,19.92,72.39,2020-07-29 06:36:01,2020-07-29,6,"am",5
"FS-396",2020-07-29 13:45:43,23.76,60.49,2020-07-29 06:45:43,2020-07-29,6,"am",5
"FS-396",2020-07-30 13:57:19,26.1,48,2020-07-30 06:57:19,2020-07-30,6,"am",6
"FS-396",2020-08-01 13:53:00,24.41,49.95,2020-08-01 06:53:00,2020-08-01,6,"am",6
"FS-396",2020-08-04 13:37:18,15.6,86.65,2020-08-04 06:37:18,2020-08-04,6,"am",6
"FS-396",2020-08-04 13:57:34,23.93,55.73,2020-08-04 06:57:34,2020-08-04,6,"am",6
"FS-396",2020-08-05 13:51:16,21.69,61.11,2020-08-05 06:51:16,2020-08-05,6,"am",6
"FS-396",2020-08-06 13:41:59,14.56,82.14,2020-08-06 06:41:59,2020-08-06,6,"am",6
"FS-396",2020-08-08 13:43:53,19.08,76.91,2020-08-08 06:43:53,2020-08-08,6,"am",7
"FS-396",2020-08-08 13:57:35,24.07,57.97,2020-08-08 06:57:35,2020-08-08,6,"am",7
"FS-396",2020-08-09 11:26:19,15.69,91.71,2020-08-09 04:26:19,2020-08-09,4,"am",7
"FS-396",2020-08-09 11:46:35,15.55,91.22,2020-08-09 04:46:35,2020-08-09,4,"am",7
"FS-396",2020-08-09 12:19:47,15.65,90.89,2020-08-09 05:19:47,2020-08-09,5,"am",7
"FS-396",2020-08-09 12:25:21,15.63,89.57,2020-08-09 05:25:21,2020-08-09,5,"am",7
"FS-396",2020-08-09 12:39:57,15.5,87.43,2020-08-09 05:39:57,2020-08-09,5,"am",7
"FS-396",2020-08-09 12:47:07,15.38,87.92,2020-08-09 05:47:07,2020-08-09,5,"am",7
"FS-396",2020-08-11 12:46:48,15.93,90.53,2020-08-11 05:46:48,2020-08-11,5,"am",7
"FS-396",2020-08-12 13:40:26,17.51,89.64,2020-08-12 06:40:26,2020-08-12,6,"am",7
"FS-396",2020-08-12 13:49:50,21.27,74.96,2020-08-12 06:49:50,2020-08-12,6,"am",7
"FS-396",2020-08-13 12:44:18,16.99,90.04,2020-08-13 05:44:18,2020-08-13,5,"am",8
"FS-396",2020-08-13 12:48:59,16.95,89.79,2020-08-13 05:48:59,2020-08-13,5,"am",8
"FS-396",2020-08-13 12:51:29,16.89,89.71,2020-08-13 05:51:29,2020-08-13,5,"am",8
"FS-396",2020-08-14 12:36:52,19.18,89.58,2020-08-14 05:36:52,2020-08-14,5,"am",8
"FS-396",2020-08-14 12:41:20,19.12,89.97,2020-08-14 05:41:20,2020-08-14,5,"am",8
"FS-396",2020-08-14 12:45:08,19.06,90.23,2020-08-14 05:45:08,2020-08-14,5,"am",8
"FS-396",2020-08-14 12:49:07,18.89,89.86,2020-08-14 05:49:07,2020-08-14,5,"am",8
"FS-396",2020-08-14 12:51:15,18.82,89.9,2020-08-14 05:51:15,2020-08-14,5,"am",8
"FS-396",2020-08-14 12:53:42,18.72,89.72,2020-08-14 05:53:42,2020-08-14,5,"am",8
"FS-396",2020-08-15 13:44:41,20.2,81.72,2020-08-15 06:44:41,2020-08-15,6,"am",8
"FS-396",2020-08-16 12:50:45,20.48,97.75,2020-08-16 05:50:45,2020-08-16,5,"am",8
"FS-396",2020-08-17 12:01:40,20.48,94.52,2020-08-17 05:01:40,2020-08-17,5,"am",8
"FS-396",2020-08-17 12:56:26,20.1,88.57,2020-08-17 05:56:26,2020-08-17,5,"am",8
"FS-396",2020-08-24 12:13:25,17.96,95.3,2020-08-24 05:13:25,2020-08-24,5,"am",9
"FS-396",2020-08-28 13:50:57,14.47,88.53,2020-08-28 06:50:57,2020-08-28,6,"am",10
"FS-396",2020-08-31 12:50:30,15.39,91.36,2020-08-31 05:50:30,2020-08-31,5,"am",10
"FS-396",2020-09-05 11:49:19,15.56,93.31,2020-09-05 04:49:19,2020-09-05,4,"am",11
"FS-396",2020-09-05 11:55:19,15.56,93.29,2020-09-05 04:55:19,2020-09-05,4,"am",11
"FS-396",2020-09-17 09:02:30,14.37,95.48,2020-09-17 02:02:30,2020-09-17,2,"am",13
"FS-396",2020-09-17 09:05:55,14.3,95.29,2020-09-17 02:05:55,2020-09-17,2,"am",13
"FS-396",2020-09-17 09:10:59,14.2,95.35,2020-09-17 02:10:59,2020-09-17,2,"am",13
"FS-396",2020-09-17 11:46:49,13.35,97.38,2020-09-17 04:46:49,2020-09-17,4,"am",13
"FS-396",2020-09-17 12:59:49,13.3,96.9,2020-09-17 05:59:49,2020-09-17,5,"am",13
"FS-396",2020-09-17 13:03:23,13.34,97.29,2020-09-17 06:03:23,2020-09-17,6,"am",13
"FS-396",2020-09-17 13:06:43,13.28,97.16,2020-09-17 06:06:43,2020-09-17,6,"am",13
"FS-396",2020-09-17 13:13:08,13.19,96.83,2020-09-17 06:13:08,2020-09-17,6,"am",13
"FS-326",2020-07-11 13:19:41,19,66.32,2020-07-11 06:19:41,2020-07-11,6,"am",3
"FS-326",2020-07-11 13:22:27,19.61,65.13,2020-07-11 06:22:27,2020-07-11,6,"am",3
"FS-326",2020-07-11 13:30:46,21.42,58.61,2020-07-11 06:30:46,2020-07-11,6,"am",3
"FS-326",2020-07-11 13:36:57,22.65,55.15,2020-07-11 06:36:57,2020-07-11,6,"am",3
"FS-326",2020-07-12 13:13:15,20.13,59.32,2020-07-12 06:13:15,2020-07-12,6,"am",3
"FS-326",2020-07-12 13:16:59,20.87,57.64,2020-07-12 06:16:59,2020-07-12,6,"am",3
"FS-326",2020-07-12 13:25:47,23.15,49.49,2020-07-12 06:25:47,2020-07-12,6,"am",3
"FS-326",2020-07-12 13:31:01,24.47,46.78,2020-07-12 06:31:01,2020-07-12,6,"am",3
"FS-326",2020-07-12 13:36:16,25.39,45.72,2020-07-12 06:36:16,2020-07-12,6,"am",3
"FS-326",2020-07-13 13:24:07,21.18,55.33,2020-07-13 06:24:07,2020-07-13,6,"am",3
"FS-326",2020-07-13 13:29:46,22.54,51.98,2020-07-13 06:29:46,2020-07-13,6,"am",3
"FS-326",2020-07-13 13:34:33,23.74,48.79,2020-07-13 06:34:33,2020-07-13,6,"am",3
"FS-326",2020-07-13 13:37:14,24.27,48.14,2020-07-13 06:37:14,2020-07-13,6,"am",3
"FS-326",2020-07-14 13:13:41,16.12,73.32,2020-07-14 06:13:41,2020-07-14,6,"am",3
"FS-326",2020-07-14 13:20:19,17.47,70.07,2020-07-14 06:20:19,2020-07-14,6,"am",3
"FS-326",2020-07-14 13:28:26,19.47,64.15,2020-07-14 06:28:26,2020-07-14,6,"am",3
"FS-326",2020-07-14 13:32:35,20.54,61.29,2020-07-14 06:32:35,2020-07-14,6,"am",3
"FS-326",2020-07-14 13:38:06,21.73,57.66,2020-07-14 06:38:06,2020-07-14,6,"am",3
"FS-326",2020-07-14 13:44:30,22.91,55.36,2020-07-14 06:44:30,2020-07-14,6,"am",3
"FS-326",2020-07-15 13:26:47,16.77,74.8,2020-07-15 06:26:47,2020-07-15,6,"am",3
"FS-326",2020-07-15 13:29:35,17.52,72.56,2020-07-15 06:29:35,2020-07-15,6,"am",3
"FS-326",2020-07-15 13:33:05,18.38,70.27,2020-07-15 06:33:05,2020-07-15,6,"am",3
"FS-326",2020-07-15 13:36:41,19.43,67.4,2020-07-15 06:36:41,2020-07-15,6,"am",3
"FS-326",2020-07-16 13:23:48,18.34,81.7,2020-07-16 06:23:48,2020-07-16,6,"am",3
"FS-326",2020-07-16 13:33:35,20.4,74.44,2020-07-16 06:33:35,2020-07-16,6,"am",3
"FS-326",2020-07-16 13:36:40,21.12,72.26,2020-07-16 06:36:40,2020-07-16,6,"am",3
"FS-326",2020-07-16 13:39:35,21.97,69.41,2020-07-16 06:39:35,2020-07-16,6,"am",3
"FS-326",2020-07-17 13:33:44,20.49,69.43,2020-07-17 06:33:44,2020-07-17,6,"am",4
"FS-326",2020-07-17 13:38:54,21.66,66.72,2020-07-17 06:38:54,2020-07-17,6,"am",4
"FS-326",2020-07-17 13:41:00,22.17,62.75,2020-07-17 06:41:00,2020-07-17,6,"am",4
"FS-326",2020-07-18 13:33:16,18.89,76.41,2020-07-18 06:33:16,2020-07-18,6,"am",4
"FS-326",2020-07-18 13:35:34,19.54,74.58,2020-07-18 06:35:34,2020-07-18,6,"am",4
"FS-326",2020-07-18 13:39:42,20.64,70.31,2020-07-18 06:39:42,2020-07-18,6,"am",4
"FS-326",2020-07-18 13:41:56,21.38,68.31,2020-07-18 06:41:56,2020-07-18,6,"am",4
"FS-326",2020-07-18 13:46:34,22.56,63.92,2020-07-18 06:46:34,2020-07-18,6,"am",4
"FS-326",2020-07-19 13:32:29,18.77,77.97,2020-07-19 06:32:29,2020-07-19,6,"am",4
"FS-326",2020-07-19 13:36:35,19.83,74.22,2020-07-19 06:36:35,2020-07-19,6,"am",4
"FS-326",2020-07-20 13:44:09,20.94,73.23,2020-07-20 06:44:09,2020-07-20,6,"am",4
"FS-326",2020-07-20 13:46:54,21.72,71.55,2020-07-20 06:46:54,2020-07-20,6,"am",4
"FS-326",2020-07-20 13:54:07,23.59,65.5,2020-07-20 06:54:07,2020-07-20,6,"am",4
"FS-326",2020-07-21 13:38:44,18.01,77.41,2020-07-21 06:38:44,2020-07-21,6,"am",4
"FS-326",2020-07-21 13:47:41,21.3,66.99,2020-07-21 06:47:41,2020-07-21,6,"am",4
"FS-326",2020-07-21 13:58:51,24.24,55.47,2020-07-21 06:58:51,2020-07-21,6,"am",4
"FS-326",2020-07-22 13:30:21,16.13,80.47,2020-07-22 06:30:21,2020-07-22,6,"am",4
"FS-326",2020-07-22 13:32:29,16.44,79.71,2020-07-22 06:32:29,2020-07-22,6,"am",4
"FS-326",2020-07-22 13:35:02,17.01,77.1,2020-07-22 06:35:02,2020-07-22,6,"am",4
"FS-326",2020-07-22 13:38:32,18.21,73.12,2020-07-22 06:38:32,2020-07-22,6,"am",4
"FS-326",2020-07-22 13:48:21,21.89,60.75,2020-07-22 06:48:21,2020-07-22,6,"am",4
"FS-326",2020-07-23 13:32:42,16.03,84.5,2020-07-23 06:32:42,2020-07-23,6,"am",5
"FS-326",2020-07-23 13:35:51,16.47,83.77,2020-07-23 06:35:51,2020-07-23,6,"am",5
"FS-326",2020-07-23 13:39:06,17.32,81.2,2020-07-23 06:39:06,2020-07-23,6,"am",5
"FS-326",2020-07-23 13:44:11,19.03,74.74,2020-07-23 06:44:11,2020-07-23,6,"am",5
"FS-326",2020-07-23 13:48:13,20.26,69.67,2020-07-23 06:48:13,2020-07-23,6,"am",5
"FS-326",2020-07-24 13:24:17,16.09,83.48,2020-07-24 06:24:17,2020-07-24,6,"am",5
"FS-326",2020-07-24 13:35:32,17.21,79.48,2020-07-24 06:35:32,2020-07-24,6,"am",5
"FS-326",2020-07-24 13:37:38,17.54,78.32,2020-07-24 06:37:38,2020-07-24,6,"am",5
"FS-326",2020-07-24 13:40:42,18.28,76.08,2020-07-24 06:40:42,2020-07-24,6,"am",5
"FS-326",2020-07-24 13:43:29,19.13,73.39,2020-07-24 06:43:29,2020-07-24,6,"am",5
"FS-326",2020-07-24 13:49:51,21.34,66.84,2020-07-24 06:49:51,2020-07-24,6,"am",5
"FS-326",2020-07-25 13:36:44,18.04,75.14,2020-07-25 06:36:44,2020-07-25,6,"am",5
"FS-326",2020-07-25 13:45:37,20.46,68.91,2020-07-25 06:45:37,2020-07-25,6,"am",5
"FS-326",2020-07-25 13:47:56,21.18,65.7,2020-07-25 06:47:56,2020-07-25,6,"am",5
"FS-326",2020-07-26 13:35:11,17.81,78.73,2020-07-26 06:35:11,2020-07-26,6,"am",5
"FS-326",2020-07-27 13:39:21,18.96,71.51,2020-07-27 06:39:21,2020-07-27,6,"am",5
"FS-326",2020-07-28 13:35:39,17.6,78.92,2020-07-28 06:35:39,2020-07-28,6,"am",5
"FS-326",2020-07-28 13:38:18,18.22,77.53,2020-07-28 06:38:18,2020-07-28,6,"am",5
"FS-326",2020-07-28 13:40:59,19,74.98,2020-07-28 06:40:59,2020-07-28,6,"am",5
"FS-326",2020-07-28 13:45:56,20.47,69.9,2020-07-28 06:45:56,2020-07-28,6,"am",5
"FS-326",2020-07-28 13:50:22,21.45,67.05,2020-07-28 06:50:22,2020-07-28,6,"am",5
"FS-326",2020-07-28 13:57:16,23.47,61.86,2020-07-28 06:57:16,2020-07-28,6,"am",5
"FS-326",2020-07-29 13:26:36,16.91,81.15,2020-07-29 06:26:36,2020-07-29,6,"am",5
"FS-326",2020-07-29 13:42:41,19.53,74.07,2020-07-29 06:42:41,2020-07-29,6,"am",5
"FS-326",2020-07-29 13:51:15,22.12,67.71,2020-07-29 06:51:15,2020-07-29,6,"am",5
"FS-326",2020-07-30 11:38:54,15.61,84.39,2020-07-30 04:38:54,2020-07-30,4,"am",6
"FS-326",2020-07-30 13:37:15,16.94,79.16,2020-07-30 06:37:15,2020-07-30,6,"am",6
"FS-326",2020-07-30 13:41:45,18.45,74.18,2020-07-30 06:41:45,2020-07-30,6,"am",6
